settlement,region,population
Сытомино,Ханты-Мансийский автономный округ - Югра,1243
Богандинский,Тюменская область,10334
Алгатуй,Иркутская область,1180
Звягинки,Орловская область,1193
Ирбит,Свердловская область,37444
Багаевка,Саратовская область,1986
Сары-Тюз,Карачаево-Черкесская республика,4290
Новый Мир,Курганская область,1186
Хабаровск,Хабаровский край,617473
Дубовка,Волгоградская область,14015
Давыдовка,Саратовская область,1213
Лебедевка,Новосибирская область,2839
Вознесенская,Республика Ингушетия,1349
Колхозная Ахтуба,Волгоградская область,1509
Стеклянная Радица,Брянская область,1191
Чермоз,Пермский край,3519
Орлов,Кировская область,7900
Шаумяновский,Ростовская область,1786
Юрьев-Польский,Владимирская область,18610
Солнечногорск-2,Московская область,2033
Тунка,Республика Бурятия,1560
Клишино,Московская область,1408
Яркое поле,Республика Крым,4914
Александровское,Иркутская область,1401
Краснотуранск,Красноярский край,5790
Елатьма,Рязанская область,3129
Водники 2-е отд,Краснодарский край,2672
Янкуль,Ставропольский край,1600
Воробьево,Республика Крым,1085
Орлово,Воронежская область,4240
Копылово,Томская область,2615
Новый Хушет,Республика Дагестан,13530
Кандалакша,Мурманская область,35750
Горный,Забайкальский край,10891
Большая Задоевка,Республика Дагестан,1763
Подстепки,Самарская область,11438
Карпинск,Свердловская область,29291
Заводоуковск,Тюменская область,25832
Барабаново,Московская область,1336
Верхнебаканский,Краснодарский край,8719
Ленинское,Кировская область,5122
Яльчики,Чувашская республика,2342
Ивот,Брянская область,6299
Малая Минуса,Красноярский край,1651
Сергей-Поле,Краснодарский край,1958
Гели,Республика Дагестан,3208
Карачиха,Ярославская область,1440
Картас-Казмаляр,Республика Дагестан,1810
Новый Ургал,Хабаровский край,6193
Троицкое,Омская область,4192
Рясное,Ростовская область,1473
Братское,Чеченская республика,5632
Желтинский,Челябинская область,1227
Орджоникидзевский,Республика Башкортостан,168860
Кош-Хабль,Карачаево-Черкесская республика,2813
Тагара,Красноярский край,1873
Вознесенское,Нижегородская область,6744
Притеречный,Республика Северная Осетия - Алания,1672
Лемешкино,Волгоградская область,1080
Чуфарово,Ульяновская область,2016
Алькино,Самарская область,1684
Бархатово,Красноярский край,1513
Дружба,Республика Дагестан,3913
Бобринка,Омская область,1162
Малокурильское,Сахалинская область,2166
Манушкино,Московская область,1684
Новобелокатай,Республика Башкортостан,5751
Новое Алимово,Республика Татарстан,1129
Цильна,Ульяновская область,3675
Ялхой-Мохк,Чеченская республика,4735
Натальевка,Ростовская область,1475
Приморка,Ростовская область,3528
Слак,Республика Башкортостан,1021
Калниболотская,Краснодарский край,5641
Куйвози,Ленинградская область,1344
Криуша,Нижегородская область,1338
Майрамадаг,Республика Северная Осетия - Алания,1439
Верхний Икорец,Воронежская область,1129
Ой,Республика Саха (Якутия),2284
Орёл,Орловская область,311625
Кубенское,Вологодская область,3050
Журавли,Республика Крым,1475
Тымовское,Сахалинская область,7504
Новороссийск,Краснодарский край,235632
Преображение,Приморский край,6110
Хреновое,Воронежская область,5910
Урожайный,Ставропольский край,1400
Кинделя,Оренбургская область,1145
Черняевка,Республика Дагестан,2578
Правобережное,Чеченская республика,2424
Далматово,Курганская область,12413
Запорожское,Ленинградская область,2216
Великое,Ярославская область,2077
Керла-Юрт,Чеченская республика,1665
Смоленское,Алтайский край,9965
Юность,Московская область,1351
Илька,Республика Бурятия,2209
Байкалово,Тюменская область,1359
Покровск-Уральский,Свердловская область,1122
Нижнее Казанище,Республика Дагестан,14159
Бураново,Алтайский край,1202
Исправная,Карачаево-Черкесская республика,3841
Сбега,Забайкальский край,1657
Авторемзавод,Смоленская область,1316
Кондопога,Республика Карелия,30299
Зассовская,Краснодарский край,2527
Новоэстония,Республика Крым,1027
Верх-Каргат,Новосибирская область,1012
Золотаревка,Ставропольский край,1300
Новый Сарбай,Самарская область,1030
Кульшарипово,Республика Татарстан,1723
Салаир,Кемеровская область,7452
Шадейка,Пермский край,1205
Горная Пролейка,Волгоградская область,1342
Забайкальск,Забайкальский край,13032
Гамиях,Республика Дагестан,3082
Кигбаево,Удмуртская республика,1585
Агачаул,Республика Дагестан,2099
Большая Черниговка,Самарская область,5958
Уяр,Красноярский край,12783
Керчевский,Пермский край,1885
Красный Текстильщик,Саратовская область,3393
Упорная,Краснодарский край,3002
Зарагиж,Кабардино-Балкарская республика,1702
Гинта,Республика Дагестан,1401
Творишино,Брянская область,1001
Кирилловка,Краснодарский край,1960
Подосиновец,Кировская область,3617
Малино,Московская область,4108
Ахтырский,Краснодарский край,20116
Шереметьевка,Республика Татарстан,6266
Зимстан,Республика Коми,1303
Натухаевская,Краснодарский край,9852
Новое Село,Краснодарский край,1290
Новоленинский,Краснодарский край,2073
Реттиховка,Приморский край,1695
Топольное,Алтайский край,2036
Сергиев Посад-6,Московская область,7298
Старая Ситня,Московская область,1878
Чограйский,Ставропольский край,1499
Химки,Московская область,207425
Нижний Икорец,Воронежская область,1720
Куртамыш,Курганская область,16550
Старое Мартьяново,Удмуртская республика,1508
Благовещенка,Алтайский край,11445
Яново-Грушевский,Ростовская область,1438
Алехино,Иркутская область,1107
Урюпинск,Волгоградская область,39844
Тарасовский,Ростовская область,8516
Климово,Брянская область,12848
Гирьи,Курская область,1513
Сердобск,Пензенская область,31475
Камбилеевское,Республика Северная Осетия - Алания,6865
Перевалово,Тюменская область,1649
Романово,Калининградская область,1092
Аршан,Республика Бурятия,2426
Елань,Республика Бурятия,1396
Ершово,Московская область,2366
Приморский,Самарская область,2511
Урожайное,Ставропольский край,4200
Маллакент,Республика Дагестан,1396
Соловьевск,Амурская область,2695
Тумак,Астраханская область,2528
Комсомольск,Ивановская область,8366
Нефтекумск,Ставропольский край,25152
Бахта,Кировская область,2335
Точильное,Алтайский край,1329
Зеленец,Республика Коми,3526
Саккулово,Челябинская область,1739
Арпачин,Ростовская область,1482
Мыза-Ивановка,Ленинградская область,1372
Воскресенка,Омская область,2007
Совхозный,Свердловская область,6168
Котовск,Тамбовская область,29377
Красный Яр,Волгоградская область,6650
Череповец,Вологодская область,318107
Введенка,Липецкая область,1203
Научный Городок,Алтайский край,2744
Краснодонский,Ростовская область,1282
Рождествено,Ленинградская область,2199
Уфимский,Республика Башкортостан,1078
Дзержинский,Московская область,47163
Чернышевск,Забайкальский край,13112
Крапивинский,Кемеровская область,8078
Нижегородка,Республика Башкортостан,2742
Новороманово,Алтайский край,2399
Тюменский,Краснодарский край,2435
Маклино,Калужская область,1121
Прикубанский,Республика Адыгея,1126
Жуковская,Ростовская область,1324
Старый Черек,Кабардино-Балкарская республика,6795
Весьегонск,Тверская область,6067
Нижний Черек,Кабардино-Балкарская республика,3247
Барышево,Новосибирская область,5736
Дружный,Нижегородская область,1260
Оружба,Республика Дагестан,1839
Георгиевка,Красноярский край,1286
Старое Дрожжаное,Республика Татарстан,3548
Палимовка,Оренбургская область,2420
Гаспра,Республика Крым,10310
Лискинское,Воронежская область,1386
Прочноокопская,Краснодарский край,4201
Мелчхи,Чеченская республика,3469
Новые Поляны,Краснодарский край,2315
Североморск-3,Мурманская область,1502
Гречаная Балка,Краснодарский край,1637
Зендиково,Московская область,1854
Старый Студенец,Республика Татарстан,1107
Мухино,Кировская область,1557
Бажикаева,Челябинская область,1103
Межводное,Республика Крым,2087
Межегей,Республика Тыва,1380
Крымгиреевское,Ставропольский край,1900
Горхон,Республика Бурятия,1362
Юкаменское,Удмуртская республика,3697
Ржев,Тверская область,59422
Теречное,Республика Дагестан,1942
Дивеево,Нижегородская область,6914
Червишево,Тюменская область,3928
Нехаевская,Волгоградская область,3940
Чернореченский,Новосибирская область,2077
Пышлицы,Московская область,1657
Ханьков,Краснодарский край,1485
Шаранга,Нижегородская область,6797
Янгельское,Республика Башкортостан,1552
Ахметовская,Краснодарский край,1858
Тимирязевское,Томская область,6081
Селендума,Республика Бурятия,2457
Кирова,Ставропольский край,1600
Туртапка,Нижегородская область,1339
Султанянгиюрт,Республика Дагестан,9623
Верхневеселое,Краснодарский край,2020
Варфоломеевка,Приморский край,2450
Райманово,Республика Башкортостан,1315
Плешаново,Оренбургская область,3437
Кочубей,Республика Дагестан,7493
Клепинино,Республика Крым,1966
Павловское,Владимирская область,1801
Овсянка,Амурская область,2831
Ихрек,Республика Дагестан,2050
Карагали,Астраханская область,2734
Седаново,Иркутская область,1283
Большие Яльчики,Чувашская республика,1466
Донское,Тамбовская область,4295
Танги-Чу,Чеченская республика,3010
Тугозвоново,Алтайский край,1091
Слобода,Воронежская область,4386
Беломечетская,Ставропольский край,2200
Криулино,Свердловская область,2102
Тетюшское,Ульяновская область,1994
Дубровичи,Рязанская область,1485
Калинино,Омская область,2168
Светлогорье,Приморский край,1496
Медведок,Кировская область,1345
Адиюх,Кабардино-Балкарская республика,1906
Можга,Удмуртская республика,49841
Миловка,Республика Башкортостан,3475
Ленинский,Ульяновская область,1143
Нарткала,Кабардино-Балкарская республика,30704
Пинега,Архангельская область,2653
Канаевка,Пензенская область,1519
Березовка,Ростовская область,1346
Сигаево,Удмуртская республика,5818
Богословка,Пензенская область,5246
Возрождение,Саратовская область,2244
Красновка,Ростовская область,3657
Бурмакино,Кировская область,1303
Юбилейный,Курская область,1940
Ильино-Поляна,Республика Башкортостан,4625
Ново-Троицкое,Сахалинская область,1328
Богородское,Хабаровский край,3292
Усть-Баргузин,Республика Бурятия,7016
Столбовая,Московская область,5082
Высокогорский,Красноярский край,1086
Гордеевский,Алтайский край,1182
Адиль-Янгиюрт,Республика Дагестан,4139
Нижний Торей,Республика Бурятия,1021
Круглое Поле,Республика Татарстан,2486
Благовещенск,Республика Башкортостан,34955
Богородское,Кировская область,2954
Уруша,Амурская область,3317
Хоперское,Саратовская область,2152
Верхошижемье,Кировская область,4198
Петрушино,Ростовская область,2062
Медногорск,Оренбургская область,24896
Родионово-Несветайская,Ростовская область,5743
Жилина,Орловская область,6942
Костромское,Сахалинская область,1112
Халитово,Челябинская область,1530
Моква 1-я,Курская область,2085
Осташево,Московская область,2743
Мангут,Забайкальский край,2134
Голотль,Республика Дагестан,1491
Сумкино,Тюменская область,3619
Кизляр,Республика Северная Осетия - Алания,11439
Самур,Республика Дагестан,3042
Зюзино,Московская область,1036
Областной с/х опытной станции,Волгоградская область,1889
Гашун,Ростовская область,1060
Озерки,Белгородская область,1003
Цветковка,Республика Дагестан,4057
Геленджик,Краснодарский край,77212
Мамедкала,Республика Дагестан,10388
Игрим,Ханты-Мансийский автономный округ - Югра,8345
Чикола,Республика Северная Осетия - Алания,6801
Дружная Горка,Ленинградская область,3551
Журавская,Краснодарский край,2468
Есипово,Воронежская область,1217
Безруково,Кемеровская область,1952
Сеймчан,Магаданская область,2054
Семикаракорск,Ростовская область,22307
Екатериновка,Саратовская область,5818
Тельма,Иркутская область,5283
Рязань,Рязанская область,537622
Суда,Вологодская область,6078
Летник,Ростовская область,2544
Победа,Ленинградская область,2354
Большая Амзя,Республика Башкортостан,1130
Совхозный,Республика Адыгея,1483
Донгарон,Республика Северная Осетия - Алания,1178
Табачный,Республика Адыгея,2008
Беловский,Алтайский край,1298
Нижняя Санарка,Челябинская область,1014
Крестово Городище,Ульяновская область,2397
Кирпичное,Ленинградская область,1293
Кубиязы,Республика Башкортостан,1394
Мелеуз,Республика Башкортостан,58004
Фронтовое,Севастополь,1254
Рыздвяный,Ставропольский край,7536
Ингарь,Ивановская область,1031
Нестюково,Пермский край,1269
Горный Балыклей,Волгоградская область,2368
Саконы,Нижегородская область,1281
Зеленоборский,Мурманская область,5096
Небылое,Владимирская область,1488
Унароково,Краснодарский край,2114
Коноково,Краснодарский край,8715
Сылва,Свердловская область,1379
Петраковское,Республика Дагестан,3895
Герменчик,Кабардино-Балкарская республика,4171
Зимняцкий,Волгоградская область,1618
Сосновый Солонец,Самарская область,1515
Буканское,Алтайский край,1031
Усть-Камчатск,Камчатский край,3478
Новая Сидоровка,Курганская область,2267
Междуреченск,Кемеровская область,97060
Ярославка,Ярославская область,1146
Новоселки,Ульяновская область,2496
Ферзиково,Калужская область,5934
Волжский,Астраханская область,1613
Верхние Тальцы,Республика Бурятия,1112
Ириб,Республика Дагестан,1106
Себрово,Волгоградская область,4928
Михайловка,Иркутская область,7401
Ширяево,Воронежская область,2107
Лебяжье,Волгоградская область,1539
Пятигорский,Ставропольский край,4900
Ирдоматка,Вологодская область,1549
Неклюдово,Нижегородская область,9030
Тотьма,Вологодская область,9922
Югыдъяг,Республика Коми,1596
Идельбаково,Республика Башкортостан,1207
Бурашево,Тверская область,1429
Чернь,Тульская область,6351
Академический,Тверская область,1046
Тимашевск,Краснодарский край,55360
Афанасьево,Липецкая область,1758
Палласовка,Волгоградская область,14167
Курлово,Владимирская область,6142
Макашевка,Воронежская область,1042
Оссора,Камчатский край,1983
Лесколово,Ленинградская область,5050
Привокзальный,Свердловская область,4035
Мальчевская,Ростовская область,2898
Гавердовский,Республика Адыгея,3824
Каладжинская,Краснодарский край,2352
Хаджалмахи,Республика Дагестан,6187
Романовка,Самарская область,1416
Старо-Кувинск,Карачаево-Черкесская республика,1301
Юный,Оренбургская область,1418
Тюхтет,Красноярский край,4791
Николаевская,Краснодарский край,1571
Лямбирь,Республика Мордовия,8348
Приморский,Республика Крым,12560
Эворон,Хабаровский край,1119
отделения N2 СКЗНИИСиВ,Краснодарский край,3153
Дегтево,Ростовская область,1168
Красноармейское,Республика Крым,1174
Чугуевка,Приморский край,11135
Половодово,Пермский край,1518
Шелаболиха,Алтайский край,3948
Оленегорск,Мурманская область,21039
Чита,Забайкальский край,349005
Красноульское,Республика Адыгея,1813
Чарков,Республика Хакасия,1461
Субутак,Челябинская область,1108
Борковка,Нижегородская область,1454
Тальменка,Алтайский край,19263
Бутка,Свердловская область,3141
Мокшино,Тверская область,2066
Дергачи,Саратовская область,7820
Архиповка,Ивановская область,1558
Электроугли,Московская область,20136
Береславка,Волгоградская область,4031
Аввакумово,Тверская область,1284
Каплино,Белгородская область,1025
Утан,Забайкальский край,1625
Малый Зеленчук,Карачаево-Черкесская республика,1723
Новый Свет,Ленинградская область,5801
Малотенгинская,Краснодарский край,1531
Владимирская,Краснодарский край,7277
Викулово,Тюменская область,7328
Новомихайловское,Краснодарский край,2667
Основной,Саратовская область,1195
Фабрики им П.Л.Войкова,Владимирская область,1366
Абрам-Тюбе,Ставропольский край,1100
Емва,Республика Коми,13174
Ахтарский,Краснодарский край,3398
Воронежская,Краснодарский край,8697
Ходжа-Казмаляр,Республика Дагестан,1438
Комсомольский,Республика Мордовия,12525
Карманово,Смоленская область,2311
Кривошеино,Томская область,5149
Наурузово,Оренбургская область,1872
Кабановка,Самарская область,1084
Юськи,Удмуртская республика,1060
Асаново,Чувашская республика,1394
Еманжелинск,Челябинская область,29077
Алакаевка,Самарская область,1064
Чесменка,Воронежская область,1130
Новоалександровка,Амурская область,1315
Зидьян-Казмаляр,Республика Дагестан,1025
Пшада,Краснодарский край,4878
Верхний-Наур,Чеченская республика,6186
Медногорский,Карачаево-Черкесская республика,5388
Власиха,Московская область,26359
Восход,Республика Крым,10082
Ясные Поляны,Челябинская область,1424
Солнечногорск-30,Московская область,3500
Омск,Омская область,1178391
Белоносово,Челябинская область,1318
Тогучин,Новосибирская область,21107
Гикало,Чеченская республика,10212
Щучье Озеро,Пермский край,1386
Беднягина,Краснодарский край,2555
Совхоза Мамадышский,Республика Татарстан,2200
Кузнецы,Московская область,1326
Лососина,Хабаровский край,3014
Анненский Мост,Вологодская область,1527
Татарская Каргала,Оренбургская область,4927
Сахаево,Республика Башкортостан,1297
Уни,Кировская область,4632
Поронайск,Сахалинская область,15388
Махкеты,Чеченская республика,5400
Минеральные Воды,Ставропольский край,75974
Вилино,Республика Крым,6960
Чанкурбе,Республика Дагестан,1209
Кикерино,Ленинградская область,2177
Карджин,Республика Северная Осетия - Алания,2970
Советский,Нижегородская область,1052
Копьево,Республика Хакасия,4747
Майский,Кабардино-Балкарская республика,27074
Усть-Брянь,Республика Бурятия,1288
Ольшанка,Саратовская область,1597
Мортка,Ханты-Мансийский автономный округ - Югра,3640
Коммунар,Тюменская область,1402
Екатерининское,Алтайский край,1137
Бишкураево,Республика Башкортостан,1114
Батагай-Алыта,Республика Саха (Якутия),1861
Старица,Тверская область,8615
Линево,Волгоградская область,5458
Моздок,Республика Северная Осетия - Алания,40042
Семибалки,Ростовская область,1767
Малая Бугульма,Республика Татарстан,1648
Новая Солянка,Красноярский край,2429
Екатеринославка,Омская область,1402
Анди,Республика Дагестан,5591
Мысхако,Краснодарский край,9655
Широковский,Пермский край,3220
Малодельская,Волгоградская область,1189
Отрадная,Краснодарский край,24757
Южный-Коспашский,Пермский край,1393
Кадала,Забайкальский край,3515
Зеленогорский,Тверская область,1474
Троицкая,Краснодарский край,6793
Медведицкий,Волгоградская область,1076
Комсомольский,Пермский край,3106
Нагорный,Камчатский край,1425
Озерск,Челябинская область,79265
Суджа,Курская область,5657
Вязноватовка,Воронежская область,1018
Тинской,Красноярский край,3791
Карачаевск,Карачаево-Черкесская республика,21040
Новомичуринск,Рязанская область,16852
Прохладный,Кабардино-Балкарская республика,57857
Новоильинка,Алтайский край,1256
Левиха,Свердловская область,2881
Новопокровка,Тамбовская область,1654
Голынки,Смоленская область,3339
Янтарный,Калининградская область,5543
Евтино,Кемеровская область,1003
Большая Глушица,Самарская область,8774
Петелино,Тульская область,1065
Ромоданово,Республика Мордовия,8802
Передовая,Краснодарский край,4050
Кудиново,Московская область,3179
Ларичиха,Алтайский край,2085
Козьмодемьянск,Республика Марий Эл,20224
Нижний Одес,Республика Коми,9075
Грибановский,Воронежская область,14743
Чернец,Брянская область,2085
Светлоград,Ставропольский край,37819
Вершино-Шахтаминский,Забайкальский край,1142
Майртуп,Чеченская республика,13589
Зуевка,Самарская область,1247
Атюрьево,Республика Мордовия,3207
Кичигамри,Республика Дагестан,1693
Ромашково,Московская область,1004
Залиман,Воронежская область,4317
Карагай,Пермский край,6638
Доскино,Нижегородская область,1193
Ростоши,Воронежская область,1210
Анжеро-Судженск,Кемеровская область,74950
Добровольск,Калининградская область,1806
Оус,Свердловская область,1191
Красные Четаи,Чувашская республика,2342
Старочеркасская,Ростовская область,2440
Димитровград,Ульяновская область,114229
Наскент,Республика Дагестан,3216
Обуховское,Свердловская область,2395
Балюрт,Республика Дагестан,6424
Ильчигулово,Республика Башкортостан,1897
Подольск,Московская область,187961
Тотурбийкала,Республика Дагестан,3560
Мотыгино,Красноярский край,5902
Веселое,Республика Калмыкия,1154
Плеханово,Липецкая область,2130
Светлая Заря,Краснодарский край,1135
Белые Берега,Брянская область,3856
Кумертау,Республика Башкортостан,60206
Виноградное,Республика Северная Осетия - Алания,2392
Скопин,Рязанская область,27348
Борисоглебск,Воронежская область,60878
Сернур,Республика Марий Эл,10581
Беломестная Двойня,Тамбовская область,1107
Завет-Ленинский,Республика Крым,2222
Ильичево,Ленинградская область,1114
Тулиновка,Тамбовская область,1858
Радужный,Московская область,2646
Травники,Челябинская область,2263
Большой Сабск,Ленинградская область,1472
Коробицыно,Ленинградская область,1365
Натырбово,Республика Адыгея,3097
Новотроицкая,Ставропольский край,7700
Хохлово,Белгородская область,1156
Старобелокуриха,Алтайский край,1520
Курашим,Пермский край,2442
Ясногорск,Забайкальский край,11888
Асбестовский,Свердловская область,1260
Солодушино,Волгоградская область,1516
Новые Горки,Ивановская область,2775
Алеховщина,Ленинградская область,1620
Котово,Волгоградская область,21990
Грачи,Волгоградская область,1302
Иншинский,Тульская область,2224
Усинск,Республика Коми,37658
Мамоново,Новосибирская область,1640
Десногорск,Смоленская область,30923
Новоалександровск,Ставропольский край,26894
Мокроус,Саратовская область,6180
Находка,Приморский край,148280
Мизиново,Московская область,1220
Дьяковка,Саратовская область,1085
Преградная,Карачаево-Черкесская республика,7123
Судиславль,Костромская область,5454
Буденновск,Ставропольский край,63338
Гдов,Псковская область,4161
Кчун-Казмаляр,Республика Дагестан,1516
Чудиново,Владимирская область,1148
Грицовский,Тульская область,5730
Кузоватово,Ульяновская область,8624
Братовщина,Московская область,1394
Саратов,Саратовская область,840785
Родниковский,Краснодарский край,1098
Обуховка,Белгородская область,1206
Ильиновская,Чеченская республика,2036
Черный Яр,Астраханская область,7843
Ревда,Свердловская область,62395
Узуново,Московская область,3417
Гальбштадт,Алтайский край,1731
Акбулак,Оренбургская область,15050
Цветово 1-е,Курская область,1212
Дединово,Московская область,1863
Славгород,Алтайский край,29506
Ситовка,Липецкая область,1271
Томичи,Амурская область,1393
Лыхма,Ханты-Мансийский автономный округ - Югра,1379
Нюрба,Республика Саха (Якутия),9708
Хилок,Забайкальский край,9704
Новомихайловка,Алтайский край,1513
Ярославский,Приморский край,8567
Верхняя Максаковка,Республика Коми,4054
Медвежьегорск,Республика Карелия,14520
Ядрин,Чувашская республика,8252
Поисево,Республика Татарстан,1593
Демьянское,Тюменская область,1880
Сямжа,Вологодская область,4633
Голынщина,Тамбовская область,1550
Дедовичи,Псковская область,7836
Знаменск,Астраханская область,26934
Шимановск,Амурская область,18542
Орловка,Волгоградская область,1655
Степанцево,Владимирская область,2011
Джиджихабльское,Республика Адыгея,1767
Ермишь,Рязанская область,3765
Гордеевка,Брянская область,3012
Солнцевка,Омская область,2157
Залукокоаже,Кабардино-Балкарская республика,9997
Мусирмы,Чувашская республика,1229
Шум,Ленинградская область,2981
Бессоновка,Пензенская область,13920
Камызяк,Астраханская область,16077
Прокудское,Новосибирская область,6568
Гнилуша,Липецкая область,1440
Гафурово,Республика Башкортостан,1231
Глотовка,Ульяновская область,1916
Петровка,Республика Саха (Якутия),1166
Красное,Кемеровская область,3269
Амга,Республика Саха (Якутия),6590
Киреевск,Тульская область,26217
Шемышейка,Пензенская область,6475
Саратовская,Краснодарский край,9290
Црау,Республика Северная Осетия - Алания,2174
Мохсоголлох,Республика Саха (Якутия),6125
Гойское,Чеченская республика,2326
Шахта,Новосибирская область,1433
Орлиное,Севастополь,2120
Абызово,Республика Башкортостан,1053
Элистанжи,Чеченская республика,2783
Чубовка,Самарская область,2121
Барда,Пермский край,9640
Ярково,Тюменская область,7541
Михайловка,Республика Бурятия,1359
Ширяевский,Волгоградская область,1048
Быстрый Исток,Алтайский край,3096
Разведчик,Кемеровская область,1053
Адагум,Краснодарский край,2721
Хворостянка,Самарская область,5005
Кузбасский,Кемеровская область,1429
Шитхала,Кабардино-Балкарская республика,1217
Ключи,Камчатский край,4436
Отрадное,Московская область,1233
Сенгилей,Ульяновская область,6317
Новоалексеевское,Краснодарский край,1063
Красноборск,Архангельская область,4425
Краскино,Приморский край,2668
Октябрьский,Красноярский край,6038
Усемикент,Республика Дагестан,2216
Федоровский,Ханты-Мансийский автономный округ - Югра,24305
Малечкино,Вологодская область,2077
Путь Октября,Челябинская область,1129
Черемисиново,Курская область,3256
Горьковка,Тюменская область,2931
Грахово,Удмуртская республика,3057
Кузедеево,Кемеровская область,3553
Богатищево,Московская область,1704
Умашаул,Республика Дагестан,1753
Большой Карай,Саратовская область,1167
Ефимовский,Ленинградская область,3120
Сергиевский,Саратовская область,1565
Зизик,Республика Дагестан,1238
Верхний Баскунчак,Астраханская область,8202
Петровка,Пермский край,1500
Кунгур,Пермский край,66159
Дорохово,Московская область,3803
Бурный,Саратовская область,1010
Бикин,Хабаровский край,15946
Тутаев,Ярославская область,46068
Шатурторф,Московская область,3572
Тверь,Тверская область,420850
Шали,Чеченская республика,54168
Солянка,Астраханская область,4637
Темираул,Республика Дагестан,3771
Газопровод,Липецкая область,1382
Пятигорская,Краснодарский край,1753
Дрокино,Красноярский край,1334
Чайковского,Московская область,2025
Желтухинский,Рязанская область,1331
Фоминское,Алтайский край,1351
Топчиха,Алтайский край,8972
Тресково,Республика Бурятия,1188
Листвянский,Новосибирская область,2644
Чернава,Липецкая область,2490
Подгорное,Ростовская область,1043
Кострово,Московская область,2525
Караванный,Оренбургская область,2572
Старопохвистнево,Самарская область,1136
Кугоейская,Краснодарский край,1803
Маслово,Республика Крым,2222
Заречье,Новосибирская область,1065
Эльбурган,Карачаево-Черкесская республика,2513
Ольгинка,Краснодарский край,2099
Калтай,Томская область,1102
Тарко-Сале,Ямало-Ненецкий автономный округ,21665
Лыткарино,Московская область,55237
Новоомский,Омская область,7047
Автополигон,Московская область,1194
Саюкино,Тамбовская область,1330
Заполярный,Мурманская область,17396
Костин Лог,Алтайский край,1188
Жатай,Республика Саха (Якутия),10135
Звездный городок,Московская область,5737
Полтавка,Республика Крым,1937
Подгорный,Самарская область,1856
Татаюрт,Республика Дагестан,2459
Тогур,Томская область,6831
Окский,Нижегородская область,1418
Волховец,Новгородская область,1202
Восток,Приморский край,3767
Новосмолинский,Нижегородская область,4724
Ерси,Республика Дагестан,1807
Тыреть 1-я,Иркутская область,3895
